ID,名刺画像ファイル名（表）,名刺画像ファイル名（裏）,回答日時,Q1.弊社ブースにお立ち寄り頂いた目的をお選びください（複数選択可）,Q2.導入を予定されている時期をお選びください,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［導入のコスト］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［維持管理のコスト］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［導入までのスピード］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［導入による業務効率化］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［他システムとの連携］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［アフターフォロー］,Q4.弊社からご案内する希望の情報をお選びください（複数選択可）,Q5.その他、ご意見・ご要望があれば、ご記入ください
00000099,0000000582_00000099_1.jpg,0000000582_00000099_2.jpg,2026-06-15 16:56:40,その他,導入予定なし,非常に重要視している,非常に重要視している,確認・比較はしている,確認・比較はしている,非常に重要視している,重要視している,営業担当からの説明・ご提案,
00000100,0000000582_00000100_1.jpg,0000000582_00000100_2.jpg,2026-06-15 16:58:06,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,検討中だが時期未定,重要視している,重要視している,非常に重要視している,非常に重要視している,確認・比較はしている,確認・比較はしている,案内を希望しない,
00000101,0000000582_00000101_1.jpg,,2026-06-15 17:07:21,製品Cの導入を検討、情報収集、その他,検討中だが時期未定,非常に重要視している,非常に重要視している,確認・比較はしている,非常に重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案,
00000102,0000000582_00000102_1.jpg,0000000582_00000102_2.jpg,2026-06-15 17:12:08,製品Cの導入を検討,検討中だが時期未定,非常に重要視している,非常に重要視している,重要視している,重要視している,重要視している,確認・比較はしている,営業担当からの説明・ご提案,予算取りの参考にしたいので概算見積りをお願いします。
00000103,0000000582_00000103_1.jpg,0000000582_00000103_2.jpg,2026-06-15 17:12:58,製品Aの導入を検討、製品Cの導入を検討、情報収集,検討中だが時期未定,重要視している,重要視している,確認・比較はしている,重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案、お見積り、デモ・テスト導入,
00000104,0000000582_00000104_1.jpg,0000000582_00000104_2.jpg,2026-06-15 17:14:24,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,1年以内,重要視している,非常に重要視している,重要視している,非常に重要視している,非常に重要視している,重要視している,営業担当からの説明・ご提案,旧モデルからの移行パスがあるか気になっています。
00000105,0000000582_00000105_1.jpg,0000000582_00000105_2.jpg,2026-06-15 17:24:37,製品Aの導入を検討、その他,1年以内,重要視している,重要視している,あまり重要としていない,非常に重要視している,重要視している,重要視している,営業担当からの説明・ご提案,
00000106,0000000582_00000106_1.jpg,0000000582_00000106_2.jpg,2026-06-16 09:30:02,製品Aの導入を検討、製品Bの導入を検討、情報収集,3か月以内,重要視している,重要視している,あまり重要としていない,非常に重要視している,非常に重要視している,確認・比較はしている,営業担当からの説明・ご提案、お見積り,トライアル導入の条件を確認したいです。
00000107,0000000582_00000107_1.jpg,0000000582_00000107_2.jpg,2026-06-16 09:34:10,製品Bの導入を検討,1年以内,重要視している,確認・比較はしている,非常に重要視している,重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案,
00000108,0000000582_00000108_1.jpg,0000000582_00000108_2.jpg,2026-06-16 09:38:53,製品Aの導入を検討、情報収集,1年以内,非常に重要視している,重要視している,重要視している,非常に重要視している,あまり重要としていない,非常に重要視している,営業担当からの説明・ご提案,小規模拠点向けのプランがあるか知りたいです。
00000109,0000000582_00000109_1.jpg,0000000582_00000109_2.jpg,2026-06-16 09:47:50,製品Bの導入を検討、情報収集,検討中だが時期未定,重要視している,非常に重要視している,あまり重要としていない,確認・比較はしている,確認・比較はしている,非常に重要視している,営業担当からの説明・ご提案、デモ・テスト導入,
00000110,0000000582_00000110_1.jpg,0000000582_00000110_2.jpg,2026-06-16 09:54:41,製品Aの導入を検討、情報収集,3か月以内,非常に重要視している,非常に重要視している,非常に重要視している,重要視している,非常に重要視している,確認・比較はしている,営業担当からの説明・ご提案,特になし
00000111,0000000582_00000111_1.jpg,0000000582_00000111_2.jpg,2026-06-16 09:55:09,製品Bの導入を検討,検討中だが時期未定,あまり重要としていない,重要視している,あまり重要としていない,非常に重要視している,確認・比較はしている,あまり重要としていない,お見積り,旧モデルからの移行パスがあるか気になっています。
00000112,0000000582_00000112_1.jpg,,2026-06-16 10:01:01,情報収集,導入予定なし,非常に重要視している,非常に重要視している,確認・比較はしている,重要視している,非常に重要視している,あまり重要としていない,案内を希望しない,製品Aのデモが印象的でした。価格表を送ってもらえると助かります。
00000113,0000000582_00000113_1.jpg,0000000582_00000113_2.jpg,2026-06-16 10:07:28,製品Cの導入を検討、情報収集、その他,直ぐにでも,重要視している,確認・比較はしている,重要視している,非常に重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案,
00000114,0000000582_00000114_1.jpg,0000000582_00000114_2.jpg,2026-06-16 10:11:55,製品Cの導入を検討,3か月以内,確認・比較はしている,重要視している,重要視している,確認・比較はしている,あまり重要としていない,重要視している,お見積り,
00000115,0000000582_00000115_1.jpg,,2026-06-16 10:19:47,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,直ぐにでも,非常に重要視している,非常に重要視している,あまり重要としていない,重要視している,重要視している,確認・比較はしている,その他,
00000116,0000000582_00000116_1.jpg,0000000582_00000116_2.jpg,2026-06-16 10:22:08,製品Bの導入を検討,1年以内,重要視している,確認・比較はしている,非常に重要視している,非常に重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案,他社製品と比較検討中です。優位性が分かる資料が欲しいです。
00000117,0000000582_00000117_1.jpg,0000000582_00000117_2.jpg,2026-06-16 10:22:17,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,1年以内,重要視している,重要視している,重要視している,確認・比較はしている,あまり重要としていない,非常に重要視している,営業担当からの説明・ご提案,
00000118,0000000582_00000118_1.jpg,,2026-06-16 10:22:47,製品Bの導入を検討,検討中だが時期未定,非常に重要視している,あまり重要としていない,重要視している,非常に重要視している,非常に重要視している,非常に重要視している,お見積り,展示されていた新型は当社の用途に合いそうです。仕様書を希望します。
00000119,0000000582_00000119_1.jpg,0000000582_00000119_2.jpg,2026-06-16 10:23:34,製品Bの導入を検討、情報収集,検討中だが時期未定,確認・比較はしている,確認・比較はしている,確認・比較はしている,重要視している,非常に重要視している,重要視している,営業担当からの説明・ご提案,他社製品と比較検討中です。優位性が分かる資料が欲しいです。
00000120,0000000582_00000120_1.jpg,0000000582_00000120_2.jpg,2026-06-16 10:25:15,製品Aの導入を検討,検討中だが時期未定,重要視している,非常に重要視している,あまり重要としていない,非常に重要視している,非常に重要視している,非常に重要視している,営業担当からの説明・ご提案,
00000121,0000000582_00000121_1.jpg,0000000582_00000121_2.jpg,2026-06-16 10:28:28,製品Aの導入を検討、製品Bの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,非常に重要視している,確認・比較はしている,非常に重要視している,確認・比較はしている,確認・比較はしている,お見積り,
00000122,0000000582_00000122_1.jpg,0000000582_00000122_2.jpg,2026-06-16 10:29:37,製品Aの導入を検討,1年以内,重要視している,非常に重要視している,確認・比較はしている,重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案,
00000123,0000000582_00000123_1.jpg,0000000582_00000123_2.jpg,2026-06-16 10:38:30,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,3か月以内,非常に重要視している,非常に重要視している,確認・比較はしている,あまり重要としていない,あまり重要としていない,あまり重要としていない,営業担当からの説明・ご提案,特になし
00000124,0000000582_00000124_1.jpg,0000000582_00000124_2.jpg,2026-06-16 10:39:51,製品Bの導入を検討、製品Cの導入を検討、情報収集,1年以内,確認・比較はしている,重要視している,非常に重要視している,非常に重要視している,重要視している,重要視している,デモ・テスト導入,予算取りの参考にしたいので概算見積りをお願いします。
00000125,0000000582_00000125_1.jpg,0000000582_00000125_2.jpg,2026-06-16 10:42:00,製品Aの導入を検討、製品Cの導入を検討、情報収集,検討中だが時期未定,あまり重要としていない,非常に重要視している,確認・比較はしている,重要視している,重要視している,あまり重要としていない,営業担当からの説明・ご提案,旧モデルからの移行パスがあるか気になっています。
00000126,0000000582_00000126_1.jpg,0000000582_00000126_2.jpg,2026-06-16 10:43:51,製品Aの導入を検討、情報収集,検討中だが時期未定,確認・比較はしている,確認・比較はしている,非常に重要視している,非常に重要視している,確認・比較はしている,あまり重要としていない,営業担当からの説明・ご提案,
00000127,0000000582_00000127_1.jpg,,2026-06-16 10:45:17,製品Aの導入を検討、情報収集,1年以内,確認・比較はしている,重要視している,確認・比較はしている,非常に重要視している,確認・比較はしている,非常に重要視している,営業担当からの説明・ご提案、お見積り,
00000128,0000000582_00000128_1.jpg,0000000582_00000128_2.jpg,2026-06-16 10:46:44,製品Aの導入を検討、製品Cの導入を検討、その他,1年以内,非常に重要視している,重要視している,重要視している,重要視している,あまり重要としていない,確認・比較はしている,営業担当からの説明・ご提案、デモ・テスト導入,
00000129,0000000582_00000129_1.jpg,,2026-06-16 11:04:42,製品Bの導入を検討,3か月以内,確認・比較はしている,重要視している,非常に重要視している,重要視している,非常に重要視している,確認・比較はしている,デモ・テスト導入,
00000130,0000000582_00000130_1.jpg,0000000582_00000130_2.jpg,2026-06-16 11:05:06,情報収集,導入予定なし,非常に重要視している,非常に重要視している,重要視している,重要視している,重要視している,確認・比較はしている,案内を希望しない,既存システムとの連携可否について、後日詳しくお聞きしたいです。
00000131,0000000582_00000131_1.jpg,,2026-06-16 11:06:27,製品Cの導入を検討、情報収集,1年以内,確認・比較はしている,重要視している,非常に重要視している,重要視している,確認・比較はしている,あまり重要としていない,営業担当からの説明・ご提案,
00000132,0000000582_00000132_1.jpg,0000000582_00000132_2.jpg,2026-06-16 11:09:47,製品Cの導入を検討、情報収集,1年以内,確認・比較はしている,あまり重要としていない,確認・比較はしている,重要視している,非常に重要視している,重要視している,営業担当からの説明・ご提案,
00000133,0000000582_00000133_1.jpg,0000000582_00000133_2.jpg,2026-06-16 11:11:15,製品Cの導入を検討,直ぐにでも,あまり重要としていない,重要視している,あまり重要としていない,重要視している,非常に重要視している,確認・比較はしている,営業担当からの説明・ご提案,特になし
00000134,0000000582_00000134_1.jpg,,2026-06-16 11:13:59,製品Bの導入を検討,1年以内,あまり重要としていない,あまり重要としていない,重要視している,重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案,
00000135,0000000582_00000135_1.jpg,0000000582_00000135_2.jpg,2026-06-16 11:19:36,製品Cの導入を検討,3か月以内,確認・比較はしている,非常に重要視している,確認・比較はしている,非常に重要視している,重要視している,非常に重要視している,お見積り,
00000136,0000000582_00000136_1.jpg,0000000582_00000136_2.jpg,2026-06-16 11:23:59,製品Aの導入を検討、製品Bの導入を検討,1年以内,重要視している,重要視している,重要視している,非常に重要視している,あまり重要としていない,あまり重要としていない,営業担当からの説明・ご提案,製品Aのデモが印象的でした。価格表を送ってもらえると助かります。
00000137,0000000582_00000137_1.jpg,0000000582_00000137_2.jpg,2026-06-16 11:25:33,製品Cの導入を検討、情報収集,3か月以内,重要視している,重要視している,あまり重要としていない,非常に重要視している,確認・比較はしている,確認・比較はしている,営業担当からの説明・ご提案、お見積り、デモ・テスト導入,
00000138,0000000582_00000138_1.jpg,0000000582_00000138_2.jpg,2026-06-16 11:26:23,情報収集,導入予定なし,確認・比較はしている,重要視している,あまり重要としていない,非常に重要視している,確認・比較はしている,非常に重要視している,案内を希望しない,
00000139,0000000582_00000139_1.jpg,0000000582_00000139_2.jpg,2026-06-16 11:28:29,製品Aの導入を検討、情報収集,検討中だが時期未定,あまり重要としていない,非常に重要視している,確認・比較はしている,確認・比較はしている,あまり重要としていない,非常に重要視している,営業担当からの説明・ご提案、お見積り,
00000140,0000000582_00000140_1.jpg,,2026-06-16 11:33:02,製品Cの導入を検討、情報収集,直ぐにでも,非常に重要視している,重要視している,重要視している,確認・比較はしている,非常に重要視している,あまり重要としていない,営業担当からの説明・ご提案,特になし
00000141,0000000582_00000141_1.jpg,,2026-06-16 11:35:51,製品Aの導入を検討、製品Bの導入を検討,3か月以内,非常に重要視している,重要視している,確認・比較はしている,非常に重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案,特になし
00000142,0000000582_00000142_1.jpg,,2026-06-16 11:36:56,製品Cの導入を検討、情報収集,検討中だが時期未定,重要視している,非常に重要視している,あまり重要としていない,確認・比較はしている,確認・比較はしている,確認・比較はしている,お見積り,
00000143,0000000582_00000143_1.jpg,0000000582_00000143_2.jpg,2026-06-16 11:40:50,製品Aの導入を検討、情報収集,検討中だが時期未定,重要視している,重要視している,重要視している,非常に重要視している,確認・比較はしている,非常に重要視している,お見積り,
00000144,0000000582_00000144_1.jpg,,2026-06-16 11:41:05,製品Bの導入を検討、製品Cの導入を検討,検討中だが時期未定,あまり重要としていない,確認・比較はしている,確認・比較はしている,非常に重要視している,確認・比較はしている,非常に重要視している,営業担当からの説明・ご提案,現場担当者にも見せたいので、動画資料などがあれば案内してください。
00000145,0000000582_00000145_1.jpg,,2026-06-16 11:42:24,製品Aの導入を検討、その他,1年以内,重要視している,非常に重要視している,重要視している,あまり重要としていない,重要視している,重要視している,営業担当からの説明・ご提案、デモ・テスト導入,
00000146,,,2026-06-16 12:04:39,情報収集,導入予定なし,重要視している,重要視している,重要視している,確認・比較はしている,重要視している,非常に重要視している,案内を希望しない,
00000147,0000000582_00000147_1.jpg,0000000582_00000147_2.jpg,2026-06-16 12:05:49,製品Aの導入を検討、製品Bの導入を検討、情報収集,3か月以内,確認・比較はしている,重要視している,重要視している,非常に重要視している,重要視している,重要視している,案内を希望しない,
00000148,0000000582_00000148_1.jpg,0000000582_00000148_2.jpg,2026-06-16 12:08:19,製品Bの導入を検討、製品Cの導入を検討、情報収集,1年以内,重要視している,重要視している,確認・比較はしている,重要視している,非常に重要視している,確認・比較はしている,営業担当からの説明・ご提案,
00000149,0000000582_00000149_1.jpg,0000000582_00000149_2.jpg,2026-06-16 12:13:31,製品Aの導入を検討、製品Bの導入を検討,検討中だが時期未定,重要視している,重要視している,確認・比較はしている,確認・比較はしている,あまり重要としていない,確認・比較はしている,お見積り,
00000150,0000000582_00000150_1.jpg,,2026-06-16 12:20:38,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,検討中だが時期未定,非常に重要視している,重要視している,重要視している,重要視している,あまり重要としていない,重要視している,案内を希望しない,展示されていた新型は当社の用途に合いそうです。仕様書を希望します。
00000151,0000000582_00000151_1.jpg,0000000582_00000151_2.jpg,2026-06-16 12:25:00,製品Cの導入を検討,1年以内,非常に重要視している,重要視している,重要視している,非常に重要視している,確認・比較はしている,あまり重要としていない,営業担当からの説明・ご提案,
00000152,0000000582_00000152_1.jpg,0000000582_00000152_2.jpg,2026-06-16 12:33:24,製品Aの導入を検討、製品Cの導入を検討、情報収集,1年以内,重要視している,確認・比較はしている,確認・比較はしている,非常に重要視している,重要視している,重要視している,お見積り,予算取りの参考にしたいので概算見積りをお願いします。
00000153,0000000582_00000153_1.jpg,0000000582_00000153_2.jpg,2026-06-16 12:35:04,製品Cの導入を検討、情報収集,直ぐにでも,重要視している,非常に重要視している,非常に重要視している,重要視している,非常に重要視している,確認・比較はしている,営業担当からの説明・ご提案,特になし
00000154,0000000582_00000154_1.jpg,0000000582_00000154_2.jpg,2026-06-16 12:35:12,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,3か月以内,非常に重要視している,重要視している,確認・比較はしている,あまり重要としていない,重要視している,非常に重要視している,デモ・テスト導入,
00000155,0000000582_00000155_1.jpg,0000000582_00000155_2.jpg,2026-06-16 12:35:46,製品Aの導入を検討、情報収集,3か月以内,重要視している,確認・比較はしている,重要視している,重要視している,確認・比較はしている,非常に重要視している,案内を希望しない,現場担当者にも見せたいので、動画資料などがあれば案内してください。
00000156,0000000582_00000156_1.jpg,0000000582_00000156_2.jpg,2026-06-16 12:52:15,製品Aの導入を検討、情報収集,検討中だが時期未定,確認・比較はしている,非常に重要視している,あまり重要としていない,重要視している,あまり重要としていない,重要視している,営業担当からの説明・ご提案、お見積り、デモ・テスト導入,現場担当者にも見せたいので、動画資料などがあれば案内してください。
00000157,0000000582_00000157_1.jpg,0000000582_00000157_2.jpg,2026-06-16 12:59:07,製品Bの導入を検討,検討中だが時期未定,重要視している,確認・比較はしている,重要視している,非常に重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案,
00000158,0000000582_00000158_1.jpg,,2026-06-16 13:07:00,製品Aの導入を検討、製品Cの導入を検討,1年以内,非常に重要視している,重要視している,確認・比較はしている,あまり重要としていない,重要視している,確認・比較はしている,デモ・テスト導入,
00000159,0000000582_00000159_1.jpg,0000000582_00000159_2.jpg,2026-06-16 13:10:42,製品Aの導入を検討、製品Bの導入を検討,検討中だが時期未定,重要視している,重要視している,重要視している,重要視している,確認・比較はしている,重要視している,案内を希望しない,予算取りの参考にしたいので概算見積りをお願いします。
00000160,0000000582_00000160_1.jpg,0000000582_00000160_2.jpg,2026-06-16 13:25:42,製品Aの導入を検討、製品Bの導入を検討,検討中だが時期未定,重要視している,重要視している,重要視している,確認・比較はしている,重要視している,重要視している,営業担当からの説明・ご提案,
00000161,,,2026-06-16 13:26:20,製品Bの導入を検討、その他,1年以内,非常に重要視している,非常に重要視している,非常に重要視している,重要視している,確認・比較はしている,重要視している,お見積り、デモ・テスト導入,
00000162,0000000582_00000162_1.jpg,,2026-06-16 13:28:03,製品Aの導入を検討,検討中だが時期未定,非常に重要視している,重要視している,重要視している,確認・比較はしている,確認・比較はしている,確認・比較はしている,営業担当からの説明・ご提案,会場が混んでいてゆっくり聞けなかったので、改めて訪問説明を希望します。
00000163,0000000582_00000163_1.jpg,,2026-06-16 13:31:32,情報収集、その他,導入予定なし,重要視している,重要視している,重要視している,重要視している,重要視している,あまり重要としていない,案内を希望しない,
00000164,0000000582_00000164_1.jpg,0000000582_00000164_2.jpg,2026-06-16 13:33:30,情報収集,導入予定なし,非常に重要視している,重要視している,確認・比較はしている,重要視している,非常に重要視している,確認・比較はしている,案内を希望しない,
00000165,0000000582_00000165_1.jpg,0000000582_00000165_2.jpg,2026-06-16 13:40:46,製品Cの導入を検討、その他,3か月以内,非常に重要視している,重要視している,確認・比較はしている,非常に重要視している,非常に重要視している,重要視している,営業担当からの説明・ご提案,
00000166,0000000582_00000166_1.jpg,0000000582_00000166_2.jpg,2026-06-16 13:52:34,製品Aの導入を検討、製品Cの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,確認・比較はしている,確認・比較はしている,重要視している,非常に重要視している,非常に重要視している,営業担当からの説明・ご提案,海外拠点への展開実績はありますか。
00000167,0000000582_00000167_1.jpg,0000000582_00000167_2.jpg,2026-06-16 13:53:02,製品Aの導入を検討、製品Cの導入を検討、情報収集,1年以内,重要視している,確認・比較はしている,確認・比較はしている,確認・比較はしている,あまり重要としていない,重要視している,営業担当からの説明・ご提案、お見積り,旧モデルからの移行パスがあるか気になっています。
00000168,0000000582_00000168_1.jpg,0000000582_00000168_2.jpg,2026-06-16 13:59:30,製品Bの導入を検討,1年以内,重要視している,非常に重要視している,重要視している,確認・比較はしている,非常に重要視している,確認・比較はしている,営業担当からの説明・ご提案、デモ・テスト導入,
00000169,0000000582_00000169_1.jpg,,2026-06-16 14:02:05,製品Cの導入を検討,1年以内,非常に重要視している,確認・比較はしている,非常に重要視している,重要視している,あまり重要としていない,重要視している,営業担当からの説明・ご提案,カタログだけでは分からない運用面の話が聞けて良かったです。
00000170,0000000582_00000170_1.jpg,,2026-06-16 14:03:21,製品Aの導入を検討、情報収集,直ぐにでも,非常に重要視している,重要視している,確認・比較はしている,非常に重要視している,重要視している,確認・比較はしている,営業担当からの説明・ご提案,
00000171,0000000582_00000171_1.jpg,,2026-06-16 14:05:56,製品Cの導入を検討,3か月以内,非常に重要視している,重要視している,非常に重要視している,非常に重要視している,重要視している,あまり重要としていない,営業担当からの説明・ご提案,
00000172,0000000582_00000172_1.jpg,,2026-06-16 14:07:25,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,1年以内,確認・比較はしている,重要視している,あまり重要としていない,重要視している,あまり重要としていない,重要視している,営業担当からの説明・ご提案、お見積り,
00000173,0000000582_00000173_1.jpg,0000000582_00000173_2.jpg,2026-06-16 14:17:41,製品Bの導入を検討、情報収集,検討中だが時期未定,確認・比較はしている,重要視している,あまり重要としていない,重要視している,重要視している,重要視している,デモ・テスト導入,
00000174,0000000582_00000174_1.jpg,0000000582_00000174_2.jpg,2026-06-16 14:19:49,製品Aの導入を検討、その他,1年以内,非常に重要視している,確認・比較はしている,あまり重要としていない,重要視している,確認・比較はしている,確認・比較はしている,案内を希望しない,海外拠点への展開実績はありますか。
00000175,0000000582_00000175_1.jpg,0000000582_00000175_2.jpg,2026-06-16 14:25:06,情報収集、その他,導入予定なし,非常に重要視している,あまり重要としていない,重要視している,非常に重要視している,重要視している,非常に重要視している,案内を希望しない,海外拠点への展開実績はありますか。
00000176,0000000582_00000176_1.jpg,,2026-06-16 14:29:31,製品Aの導入を検討、情報収集,3か月以内,非常に重要視している,重要視している,あまり重要としていない,重要視している,あまり重要としていない,非常に重要視している,営業担当からの説明・ご提案,
00000177,0000000582_00000177_1.jpg,0000000582_00000177_2.jpg,2026-06-16 14:30:32,製品Bの導入を検討、製品Cの導入を検討,検討中だが時期未定,重要視している,非常に重要視している,非常に重要視している,重要視している,確認・比較はしている,確認・比較はしている,営業担当からの説明・ご提案、デモ・テスト導入,小規模拠点向けのプランがあるか知りたいです。
00000178,0000000582_00000178_1.jpg,0000000582_00000178_2.jpg,2026-06-16 14:38:05,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討、その他,3か月以内,確認・比較はしている,あまり重要としていない,あまり重要としていない,非常に重要視している,非常に重要視している,重要視している,デモ・テスト導入,
00000179,0000000582_00000179_1.jpg,,2026-06-16 14:38:37,製品Bの導入を検討,3か月以内,確認・比較はしている,非常に重要視している,重要視している,確認・比較はしている,確認・比較はしている,重要視している,営業担当からの説明・ご提案、お見積り,
00000180,0000000582_00000180_1.jpg,0000000582_00000180_2.jpg,2026-06-16 14:39:50,製品Bの導入を検討、製品Cの導入を検討、情報収集,3か月以内,非常に重要視している,確認・比較はしている,あまり重要としていない,重要視している,重要視している,重要視している,営業担当からの説明・ご提案、デモ・テスト導入,
00000181,0000000582_00000181_1.jpg,,2026-06-16 14:40:20,情報収集,導入予定なし,非常に重要視している,確認・比較はしている,あまり重要としていない,あまり重要としていない,確認・比較はしている,あまり重要としていない,案内を希望しない,
00000182,0000000582_00000182_1.jpg,,2026-06-16 14:44:27,製品Bの導入を検討、製品Cの導入を検討、情報収集,検討中だが時期未定,重要視している,あまり重要としていない,確認・比較はしている,重要視している,非常に重要視している,あまり重要としていない,営業担当からの説明・ご提案、デモ・テスト導入,
00000183,0000000582_00000183_1.jpg,0000000582_00000183_2.jpg,2026-06-16 14:44:52,情報収集、その他,導入予定なし,確認・比較はしている,重要視している,非常に重要視している,非常に重要視している,非常に重要視している,重要視している,案内を希望しない,
00000184,0000000582_00000184_1.jpg,0000000582_00000184_2.jpg,2026-06-16 14:50:31,製品Bの導入を検討、情報収集,3か月以内,重要視している,あまり重要としていない,あまり重要としていない,非常に重要視している,あまり重要としていない,重要視している,営業担当からの説明・ご提案,会場が混んでいてゆっくり聞けなかったので、改めて訪問説明を希望します。
00000185,0000000582_00000185_1.jpg,0000000582_00000185_2.jpg,2026-06-16 14:57:19,製品Aの導入を検討、製品Cの導入を検討、情報収集,3か月以内,非常に重要視している,確認・比較はしている,重要視している,確認・比較はしている,重要視している,非常に重要視している,お見積り,既存システムとの連携可否について、後日詳しくお聞きしたいです。
00000186,0000000582_00000186_1.jpg,0000000582_00000186_2.jpg,2026-06-16 15:05:00,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,3か月以内,非常に重要視している,非常に重要視している,確認・比較はしている,重要視している,非常に重要視している,重要視している,営業担当からの説明・ご提案、その他,
00000187,0000000582_00000187_1.jpg,0000000582_00000187_2.jpg,2026-06-16 15:09:12,製品Bの導入を検討、製品Cの導入を検討、情報収集,1年以内,非常に重要視している,非常に重要視している,重要視している,非常に重要視している,重要視している,重要視している,デモ・テスト導入,
00000188,0000000582_00000188_1.jpg,,2026-06-16 15:11:44,製品Aの導入を検討,検討中だが時期未定,確認・比較はしている,重要視している,重要視している,重要視している,確認・比較はしている,確認・比較はしている,営業担当からの説明・ご提案,
00000189,0000000582_00000189_1.jpg,0000000582_00000189_2.jpg,2026-06-16 15:21:26,製品Aの導入を検討、製品Bの導入を検討、情報収集,検討中だが時期未定,あまり重要としていない,重要視している,確認・比較はしている,非常に重要視している,非常に重要視している,非常に重要視している,お見積り,
00000190,0000000582_00000190_1.jpg,0000000582_00000190_2.jpg,2026-06-16 15:23:30,製品Aの導入を検討、製品Cの導入を検討,検討中だが時期未定,重要視している,非常に重要視している,重要視している,重要視している,重要視している,重要視している,営業担当からの説明・ご提案,セミナーの開催予定があれば案内をお願いします。
00000191,0000000582_00000191_1.jpg,,2026-06-16 15:27:57,製品Aの導入を検討、製品Bの導入を検討、情報収集,1年以内,非常に重要視している,非常に重要視している,確認・比較はしている,非常に重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案,
00000192,0000000582_00000192_1.jpg,,2026-06-16 15:28:23,製品Cの導入を検討,1年以内,重要視している,重要視している,重要視している,重要視している,あまり重要としていない,重要視している,その他,
00000193,0000000582_00000193_1.jpg,,2026-06-16 15:30:13,製品Bの導入を検討,3か月以内,非常に重要視している,重要視している,確認・比較はしている,非常に重要視している,重要視している,非常に重要視している,お見積り,
00000194,,,2026-06-16 15:36:56,情報収集、その他,導入予定なし,あまり重要としていない,非常に重要視している,確認・比較はしている,非常に重要視している,あまり重要としていない,あまり重要としていない,案内を希望しない,
00000195,0000000582_00000195_1.jpg,0000000582_00000195_2.jpg,2026-06-16 15:44:24,製品Bの導入を検討、製品Cの導入を検討、情報収集,1年以内,非常に重要視している,非常に重要視している,重要視している,重要視している,確認・比較はしている,確認・比較はしている,案内を希望しない,
00000196,0000000582_00000196_1.jpg,0000000582_00000196_2.jpg,2026-06-16 15:45:18,製品Cの導入を検討,1年以内,あまり重要としていない,重要視している,非常に重要視している,重要視している,非常に重要視している,確認・比較はしている,デモ・テスト導入,
00000197,0000000582_00000197_1.jpg,0000000582_00000197_2.jpg,2026-06-16 15:51:35,製品Aの導入を検討、製品Bの導入を検討、情報収集,3か月以内,重要視している,重要視している,重要視している,確認・比較はしている,確認・比較はしている,あまり重要としていない,お見積り、デモ・テスト導入,
00000198,0000000582_00000198_1.jpg,,2026-06-16 15:52:04,製品Cの導入を検討,3か月以内,重要視している,重要視している,確認・比較はしている,非常に重要視している,重要視している,あまり重要としていない,営業担当からの説明・ご提案,導入事例をもう少し詳しく知りたいです。特に同業種の事例があれば。
00000199,0000000582_00000199_1.jpg,,2026-06-16 15:53:03,製品Aの導入を検討,1年以内,非常に重要視している,非常に重要視している,確認・比較はしている,重要視している,重要視している,重要視している,お見積り、デモ・テスト導入,
00000200,0000000582_00000200_1.jpg,0000000582_00000200_2.jpg,2026-06-16 16:09:46,製品Cの導入を検討,検討中だが時期未定,重要視している,重要視している,重要視している,重要視している,重要視している,あまり重要としていない,お見積り,納期の目安を教えていただけると社内稟議を進めやすいです。
00000201,0000000582_00000201_1.jpg,0000000582_00000201_2.jpg,2026-06-16 16:23:21,製品Bの導入を検討,3か月以内,非常に重要視している,確認・比較はしている,重要視している,非常に重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案、その他,
